author,station,section,lat,long,bottomdepth,Location,date,time,date
Angly et al 2016,TT2,inshore,-17.976,146.118,,Australia: Queensland: Mission Beach,5/10/2011,,5/10/2011
Angly et al 2016,TT2,inshore,-17.976,146.118,,Australia: Queensland: Mission Beach,14/12/2011,,14/12/2011
Angly et al 2016,TT2,inshore,-17.976,146.118,,Australia: Queensland: Mission Beach,14/12/2011,,14/12/2011
Angly et al 2016,TT2,inshore,-17.976,146.118,,Australia: Queensland: Mission Beach,10/10/2012,,10/10/2012
Angly et al 2016,TT2,inshore,-17.976,146.118,,Australia: Queensland: Mission Beach,24/06/2011,,24/06/2011
Angly et al 2016,TT2,inshore,-17.976,146.118,,Australia: Queensland: Mission Beach,17/02/2012,,17/02/2012
Angly et al 2016,TR,riverine,-17.993,145.942,,Australia: Queensland: Euramo,29/06/2011,,29/06/2011
Angly et al 2016,TR,riverine,-17.993,145.942,,Australia: Queensland: Euramo,9/10/2013,,9/10/2013
Angly et al 2016,TR,riverine,-17.993,145.942,,Australia: Queensland: Euramo,14/12/2011,,14/12/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,10/10/2013,,10/10/2013
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,14/12/2011,,14/12/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,14/12/2011,,14/12/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,17/02/2012,,17/02/2012
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,22/06/2013,,22/06/2013
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,18/02/2013,,18/02/2013
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,24/06/2011,,24/06/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,24/06/2011,,24/06/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,10/06/2012,,10/06/2012
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,10/10/2012,,10/10/2012
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,18/01/2011,,18/01/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,18/01/2011,,18/01/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,12/02/2011,,12/02/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,13/02/2011,,13/02/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,17/02/2011,,17/02/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,21/02/2011,,21/02/2011
Angly et al 2016,TT1,inshore,-18.029,146.072,,Australia: Queensland: Tully mouth,3/03/2011,,3/03/2011
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,26/02/2016,12h00,26/02/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,26/02/2016,12h00,26/02/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,26/02/2016,12h00,26/02/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,30/03/2016,12h00,30/03/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,30/03/2016,12h00,30/03/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,30/03/2016,12h00,30/03/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,22/04/2016,12h00,22/04/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,22/04/2016,12h00,22/04/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,22/04/2016,12h00,22/04/2016
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,2/05/2016,12h00,2/05/2016
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,2/05/2016,12h00,2/05/2016
Glasl et al 2019,Channel,inshore,-18.5743,146.4964,,Australia: Queensland: Orpheus Island:Channel,2/05/2016,12h00,2/05/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,4/05/2016,12h00,4/05/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,4/05/2016,12h00,4/05/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,4/05/2016,12h00,4/05/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,8/06/2016,12h00,8/06/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,8/06/2016,12h00,8/06/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,8/06/2016,12h00,8/06/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,1/08/2016,12h00,1/08/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,1/08/2016,12h00,1/08/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,1/08/2016,12h00,1/08/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,10/10/2016,12h00,10/10/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,10/10/2016,12h00,10/10/2016
Glasl et al 2019,Geoffrey Bay,inshore,-19.156,146.8622,,Australia: Queensland: Magnetic Island:Geoffrey Bay,10/10/2016,12h00,10/10/2016
Glasl et al 2019,Pioneer Bay,inshore,-18.6107,146.4868,,Australia: Queensland: Orpheus Island: Pioneer Bay,9/11/2016,12h00,9/11/2016
